Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xGp90,xAp90,xG+xA,npxGp90,npxG+xA,Matches
438,Youri Tielemans,be BEL,MF,Leicester City,22,1997,28,24,"2,154",3,5,0,0,1,0,0.13,0.21,0.33,0.13,0.33,2.4,2.4,4.2,0.1,0.17,0.27,0.1,0.27,Matches
286,John McGinn,sco SCO,MF,Aston Villa,24,1994,18,18,"1,538",3,2,0,0,2,0,0.18,0.12,0.29,0.18,0.29,2.7,2.7,1.9,0.16,0.11,0.27,0.16,0.27,Matches
336,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,25,1993,21,13,"1,108",3,0,0,0,1,0,0.24,0,0.24,0.24,0.24,2.3,2.3,1,0.19,0.08,0.27,0.19,0.27,Matches
307,Wesley Moraes,br BRA,FW,Aston Villa,22,1996,21,21,"1,790",5,1,0,1,3,0,0.25,0.05,0.3,0.25,0.3,5.2,4.3,0.9,0.26,0.04,0.31,0.22,0.26,Matches
113,Abdoulaye Doucouré,fr FRA,MF,Watford,26,1993,28,28,"2,450",4,2,0,0,8,0,0.15,0.07,0.22,0.15,0.22,4.1,4.1,2.6,0.15,0.1,0.25,0.15,0.25,Matches
290,Dwight McNeil,eng ENG,MF,Burnley,19,1999,29,29,"2,535",2,5,0,0,4,0,0.07,0.18,0.25,0.07,0.25,1.5,1.5,5.5,0.05,0.19,0.25,0.05,0.25,Matches
306,Aaron Mooy,au AUS,"MF,FW",Brighton,28,1990,22,20,"1,658",2,1,0,0,2,1,0.11,0.05,0.16,0.11,0.16,1.9,1.9,2.7,0.11,0.15,0.25,0.11,0.25,Matches
373,Andrew Robertson,sco SCO,DF,Liverpool,25,1994,28,27,"2,445",1,7,0,0,1,0,0.04,0.26,0.29,0.04,0.29,1.3,1.3,5.7,0.05,0.21,0.25,0.05,0.25,Matches
211,Joelinton,br BRA,FW,Newcastle Utd,22,1996,29,27,"2,237",1,2,0,0,6,0,0.04,0.08,0.12,0.04,0.12,3.9,3.9,2.2,0.16,0.09,0.25,0.16,0.25,Matches
448,Trézéguet,eg EGY,"FW,MF",Aston Villa,24,1994,24,13,"1,324",3,1,0,0,4,1,0.2,0.07,0.27,0.2,0.27,2.8,2.8,0.7,0.19,0.05,0.24,0.19,0.24,Matches
468,James Ward-Prowse,eng ENG,"MF,DF",Southampton,24,1994,29,29,"2,610",4,3,1,2,7,0,0.14,0.1,0.24,0.1,0.21,4.5,2.8,3.9,0.15,0.13,0.29,0.1,0.23,Matches
112,Matt Doherty,ie IRL,DF,Wolves,27,1992,27,24,"2,150",4,1,0,0,1,0,0.17,0.04,0.21,0.17,0.21,4.7,4.7,0.8,0.2,0.03,0.23,0.2,0.23,Matches
489,Wilfried Zaha,ci CIV,"MF,FW",Crystal Palace,26,1992,29,28,"2,545",3,3,0,0,4,0,0.11,0.11,0.21,0.11,0.21,4,4,2.4,0.14,0.08,0.23,0.14,0.23,Matches
29,César Azpilicueta,es ESP,DF,Chelsea,29,1989,27,27,"2,420",2,3,0,0,0,0,0.07,0.11,0.19,0.07,0.19,1.5,1.5,4.6,0.06,0.17,0.23,0.06,0.23,Matches
337,Mesut Özil,de GER,MF,Arsenal,30,1988,18,18,"1,449",1,2,0,0,1,0,0.06,0.12,0.19,0.06,0.19,1.4,1.4,2.3,0.09,0.14,0.23,0.09,0.23,Matches
108,Lucas Digne,fr FRA,DF,Everton,26,1993,26,26,"2,245",0,5,0,0,2,0,0,0.2,0.2,0,0.2,1.1,1.1,4.6,0.04,0.18,0.23,0.04,0.23,Matches
415,Dominic Solanke,eng ENG,"FW,MF",Bournemouth,21,1997,24,12,"1,179",0,1,0,0,1,0,0,0.08,0.08,0,0.08,2.1,2.1,1,0.16,0.07,0.23,0.16,0.23,Matches
23,Stuart Armstrong,sco SCO,MF,Southampton,27,1992,21,12,"1,140",3,0,0,0,3,0,0.24,0,0.24,0.24,0.24,2,2,0.9,0.16,0.07,0.22,0.16,0.22,Matches
49,Bernard,br BRA,"MF,FW",Everton,26,1992,19,13,"1,023",3,2,0,0,2,0,0.26,0.18,0.44,0.26,0.44,1,1,1.5,0.08,0.13,0.22,0.08,0.22,Matches
14,Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,25,1994,28,28,"2,380",2,1,0,0,5,0,0.08,0.04,0.11,0.08,0.11,5.2,5.2,0.8,0.2,0.03,0.22,0.2,0.22,Matches
313,João Moutinho,pt POR,MF,Wolves,32,1986,29,27,"2,436",1,6,0,0,5,0,0.04,0.22,0.26,0.04,0.26,0.8,0.8,5.3,0.03,0.19,0.22,0.03,0.22,Matches
51,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,24,23,"2,023",1,1,0,0,3,1,0.04,0.04,0.09,0.04,0.09,1.8,1.8,3.1,0.08,0.14,0.22,0.08,0.22,Matches
220,N'Golo Kanté,fr FRA,MF,Chelsea,28,1991,18,16,"1,385",3,0,0,0,3,0,0.19,0,0.19,0.19,0.19,1.5,1.5,1.8,0.1,0.11,0.21,0.1,0.21,Matches
346,Roberto Pereyra,ar ARG,"FW,MF",Watford,28,1991,23,13,"1,327",3,0,1,1,3,0,0.2,0,0.2,0.14,0.14,2.2,1.5,1.7,0.15,0.11,0.27,0.1,0.21,Matches
419,Jack Stacey,eng ENG,DF,Bournemouth,23,1996,12,12,"1,068",0,2,0,0,2,0,0,0.17,0.17,0,0.17,0.3,0.3,2.1,0.03,0.18,0.21,0.03,0.21,Matches
471,Ashley Westwood,eng ENG,MF,Burnley,29,1990,26,26,"2,340",2,5,0,0,9,0,0.08,0.19,0.27,0.08,0.27,1.1,1.1,4,0.04,0.15,0.2,0.04,0.2,Matches
146,Fred,br BRA,MF,Manchester Utd,26,1993,25,22,"2,027",0,0,0,0,7,0,0,0,0,0,0,1.7,1.7,2.8,0.07,0.12,0.2,0.07,0.2,Matches
386,Bukayo Saka,eng ENG,"DF,FW",Arsenal,17,2001,18,12,"1,174",0,3,0,0,4,0,0,0.23,0.23,0,0.23,0.7,0.7,1.9,0.05,0.14,0.2,0.05,0.2,Matches
338,Emerson Palmieri,it ITA,DF,Chelsea,24,1994,14,13,"1,023",0,0,0,0,3,0,0,0,0,0,0,0.9,0.9,1.4,0.08,0.12,0.2,0.08,0.2,Matches
183,Jordan Henderson,eng ENG,MF,Liverpool,29,1990,25,22,"1,891",3,5,0,0,1,0,0.14,0.24,0.38,0.14,0.38,1.1,1.1,2.8,0.05,0.14,0.19,0.05,0.19,Matches
195,Will Hughes,eng ENG,MF,Watford,24,1995,21,18,"1,516",1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,2.3,2.3,0.8,0.14,0.05,0.19,0.14,0.19,Matches
207,Reece James,eng ENG,DF,Chelsea,19,1999,17,11,"1,065",0,2,0,0,1,0,0,0.17,0.17,0,0.17,0.5,0.5,1.8,0.04,0.15,0.19,0.04,0.19,Matches
345,Ricardo Pereira,pt POR,DF,Leicester City,25,1993,28,28,"2,520",3,2,0,0,1,0,0.11,0.07,0.18,0.11,0.18,1.2,1.2,3.8,0.04,0.13,0.18,0.04,0.18,Matches
442,Lucas Torreira,uy URU,MF,Arsenal,23,1996,24,15,"1,371",1,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,1.6,1.6,1.1,0.1,0.07,0.17,0.1,0.17,Matches
425,Enda Stevens,ie IRL,DF,Sheffield Utd,29,1990,28,28,"2,446",2,2,0,0,5,0,0.07,0.07,0.15,0.07,0.15,0.8,0.8,3.5,0.03,0.13,0.16,0.03,0.16,Matches
79,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,23,23,"2,060",2,3,0,0,2,0,0.09,0.13,0.22,0.09,0.22,0.8,0.8,2.9,0.03,0.13,0.16,0.03,0.16,Matches
408,Moussa Sissoko,fr FRA,MF,Tottenham,29,1989,20,19,"1,690",2,1,0,0,6,0,0.11,0.05,0.16,0.11,0.16,2,2,1,0.11,0.05,0.16,0.11,0.16,Matches
335,Nicolás Otamendi,ar ARG,DF,Manchester City,31,1988,19,15,"1,413",2,0,0,0,3,0,0.13,0,0.13,0.13,0.13,2.3,2.3,0.2,0.15,0.01,0.16,0.15,0.16,Matches
328,Oliver Norwood,nir NIR,MF,Sheffield Utd,28,1991,28,28,"2,382",1,0,1,1,6,0,0.04,0,0.04,0,0,1.5,0.7,3.4,0.06,0.13,0.18,0.03,0.16,Matches
433,Matt Targett,eng ENG,DF,Aston Villa,23,1995,20,20,"1,691",1,2,0,0,3,0,0.05,0.11,0.16,0.05,0.16,0.4,0.4,2.7,0.02,0.14,0.16,0.02,0.16,Matches
231,Mateo Kova?i?,hr CRO,MF,Chelsea,25,1994,25,18,"1,683",1,3,0,0,7,0,0.05,0.16,0.21,0.05,0.21,1.1,1.1,1.8,0.06,0.1,0.16,0.06,0.16,Matches
282,James McArthur,sco SCO,MF,Crystal Palace,31,1987,28,28,"2,433",0,3,0,0,5,0,0,0.11,0.11,0,0.11,2.2,2.2,2.3,0.08,0.08,0.16,0.08,0.16,Matches
214,Jorginho,it ITA,MF,Chelsea,27,1991,26,23,"2,015",4,2,3,3,10,0,0.18,0.09,0.27,0.04,0.13,3.5,1.2,2.2,0.16,0.1,0.25,0.05,0.15,Matches
261,Douglas Luiz,br BRA,MF,Aston Villa,21,1998,26,18,"1,714",3,2,0,0,4,0,0.16,0.11,0.26,0.16,0.26,2.1,2.1,0.8,0.11,0.04,0.15,0.11,0.15,Matches
121,Lewis Dunk,eng ENG,DF,Brighton,27,1991,27,27,"2,430",2,3,0,0,9,0,0.07,0.11,0.19,0.07,0.19,3.1,3.1,0.9,0.12,0.03,0.15,0.12,0.15,Matches
